,date,price,upanddown,check
334,2005-07-20,3.27,0.00,
335,2005-07-21,3.21,-1.83,
336,2005-07-22,3.29,+ 2.49,
337,2005-07-23,3.29,+ 2.49,
338,2005-07-24,3.29,+ 2.49,
339,2005-07-25,3.28,-0.30,
340,2005-07-26,3.27,-0.30,
341,2005-07-27,3.27,0.00,
342,2005-07-28,3.28,+ 0.31,
343,2005-07-29,3.27,-0.30,
344,2005-07-30,3.27,-0.30,
345,2005-07-31,3.27,-0.30,
346,2005-08-01,3.27,0.00,
347,2005-08-02,3.27,0.00,
348,2005-08-03,3.27,0.00,
349,2005-08-04,3.27,0.00,
350,2005-08-05,3.23,-1.22,
351,2005-08-06,3.23,-1.22,
352,2005-08-07,3.23,-1.22,
353,2005-08-08,3.26,+ 0.93,
354,2005-08-09,3.26,0.00,
355,2005-08-10,3.26,0.00,
356,2005-08-11,3.26,0.00,
357,2005-08-12,3.25,-0.31,
358,2005-08-13,3.25,-0.31,
359,2005-08-14,3.25,-0.31,
360,2005-08-15,3.25,-0.31,
361,2005-08-16,3.24,-0.31,
362,2005-08-17,3.24,0.00,
363,2005-08-18,3.24,0.00,
364,2005-08-19,3.21,-0.93,
365,2005-08-20,3.21,-0.93,
366,2005-08-21,3.21,-0.93,
367,2005-08-22,3.19,-0.62,
368,2005-08-23,3.24,+ 1.57,
369,2005-08-24,3.24,0.00,
370,2005-08-25,3.24,0.00,
371,2005-08-26,3.23,-0.31,
372,2005-08-27,3.23,-0.31,
373,2005-08-28,3.23,-0.31,
374,2005-08-29,3.24,+ 0.31,
375,2005-08-30,3.24,0.00,
376,2005-08-31,3.25,+ 0.31,
377,2005-09-01,3.25,0.00,
378,2005-09-02,3.25,0.00,
379,2005-09-03,3.25,0.00,
380,2005-09-04,3.25,0.00,
381,2005-09-05,3.25,0.00,
382,2005-09-06,3.22,-0.92,
383,2005-09-07,3.20,-0.62,
384,2005-09-08,3.24,+ 1.25,
385,2005-09-09,3.23,-0.31,
386,2005-09-10,3.23,-0.31,
387,2005-09-11,3.23,-0.31,
388,2005-09-12,3.23,0.00,
389,2005-09-13,3.24,+ 0.31,
390,2005-09-14,3.24,0.00,
391,2005-09-15,3.25,+ 0.31,
392,2005-09-16,3.24,-0.31,
393,2005-09-17,3.24,-0.31,
394,2005-09-18,3.24,-0.31,
395,2005-09-19,3.24,-0.31,
396,2005-09-20,3.24,0.00,
397,2005-09-21,3.20,-1.23,
398,2005-09-22,3.22,+ 0.63,
399,2005-09-23,3.25,+ 0.93,
400,2005-09-24,3.25,+ 0.93,
401,2005-09-25,3.25,+ 0.93,
402,2005-09-26,3.25,0.00,
403,2005-09-27,3.24,-0.31,
404,2005-09-28,3.25,+ 0.31,
405,2005-09-29,3.26,+ 0.31,
406,2005-09-30,3.28,+ 0.61,
407,2005-10-01,3.28,+ 0.61,
408,2005-10-02,3.28,+ 0.61,
409,2005-10-03,3.28,+ 0.61,
410,2005-10-04,3.26,-0.61,
411,2005-10-05,3.25,-0.31,
412,2005-10-06,3.19,-1.85,
413,2005-10-07,3.19,0.00,
414,2005-10-08,3.19,0.00,
415,2005-10-09,3.19,0.00,
416,2005-10-10,3.26,+ 2.19,
417,2005-10-11,3.50,+ 7.36,
418,2005-10-12,3.50,0.00,
419,2005-10-13,3.49,-0.29,
420,2005-10-14,3.49,0.00,
421,2005-10-15,3.49,0.00,
422,2005-10-16,3.49,0.00,
423,2005-10-17,3.50,+ 0.29,
424,2005-10-18,3.49,-0.29,
425,2005-10-19,3.49,0.00,
426,2005-10-20,3.47,-0.57,
427,2005-10-21,3.47,0.00,
428,2005-10-22,3.47,0.00,
429,2005-10-23,3.47,0.00,
430,2005-10-24,3.49,+ 0.58,
431,2005-10-25,3.50,+ 0.29,
432,2005-10-26,3.50,0.00,
433,2005-10-27,3.49,-0.29,
434,2005-10-28,3.49,0.00,
435,2005-10-29,3.49,0.00,
436,2005-10-30,3.49,0.00,
437,2005-10-31,3.51,+ 0.57,
438,2005-11-01,3.51,0.00,
439,2005-11-02,3.50,-0.28,
440,2005-11-03,3.50,0.00,
441,2005-11-04,3.45,-1.43,
442,2005-11-05,3.45,-1.43,
443,2005-11-06,3.45,-1.43,
444,2005-11-07,3.52,+ 2.03,
445,2005-11-08,3.49,-0.85,
446,2005-11-09,3.49,0.00,
447,2005-11-10,3.49,0.00,
448,2005-11-11,3.49,0.00,
