,date,price
1283,2015-05-11,1.73
1284,2015-05-08,1.73
1285,2015-05-07,1.73
1286,2015-05-06,1.73
1287,2015-05-04,1.74
1288,2015-04-30,1.74
1289,2015-04-29,1.74
1290,2015-04-28,1.74
1291,2015-04-27,1.74
1292,2015-04-24,1.74
1293,2015-04-23,1.73
1294,2015-04-22,1.73
1295,2015-04-21,1.73
1296,2015-04-20,1.73
1297,2015-04-17,1.73
1298,2015-04-16,1.73
1299,2015-04-15,1.73
1300,2015-04-14,1.73
1301,2015-04-13,1.73
1302,2015-04-10,1.74
1303,2015-04-09,1.73
1304,2015-04-08,1.73
1305,2015-04-07,1.72
1306,2015-04-06,1.72
1307,2015-04-03,1.72
1308,2015-04-02,1.73
1309,2015-04-01,1.74
1310,2015-03-31,1.74
1311,2015-03-30,1.74
1312,2015-03-27,1.74
1313,2015-03-26,1.74
1314,2015-03-25,1.74
1315,2015-03-24,1.74
1316,2015-03-23,1.73
1317,2015-03-20,1.74
1318,2015-03-19,1.74
1319,2015-03-18,1.74
1320,2015-03-17,1.74
1321,2015-03-16,1.73
1322,2015-03-13,1.73
1323,2015-03-12,1.74
1324,2015-03-11,1.98
1325,2015-03-10,1.99
1326,2015-03-09,1.98
1327,2015-03-06,1.98
1328,2015-03-05,1.98
1329,2015-03-04,1.98
1330,2015-03-03,1.98
1331,2015-03-02,1.98
1332,2015-02-27,1.99
1333,2015-02-26,1.98
1334,2015-02-25,1.98
1335,2015-02-24,1.98
1336,2015-02-23,1.98
1337,2015-02-17,1.98
1338,2015-02-16,1.99
1339,2015-02-13,1.98
1340,2015-02-12,1.98
1341,2015-02-11,1.99
1342,2015-02-10,2.00
1343,2015-02-09,1.98
1344,2015-02-06,1.99
1345,2015-02-05,1.98
1346,2015-02-04,1.99
1347,2015-02-03,1.99
1348,2015-02-02,1.99
1349,2015-01-30,2.00
1350,2015-01-29,1.99
1351,2015-01-28,1.99
1352,2015-01-27,1.99
1353,2015-01-26,1.99
1354,2015-01-23,1.99
1355,2015-01-22,1.99
1356,2015-01-21,1.98
1357,2015-01-20,1.98
1358,2015-01-19,1.98
1359,2015-01-16,1.98
1360,2015-01-15,1.99
1361,2015-01-14,1.99
1362,2015-01-13,1.99
1363,2015-01-12,1.99
1364,2015-01-09,1.98
1365,2015-01-08,1.99
1366,2015-01-07,1.99
1367,2015-01-06,1.98
1368,2015-01-05,2.00
1369,2015-01-02,2.01
1370,2014-12-31,2.03
1371,2014-12-30,2.01
1372,2014-12-29,1.99
1373,2014-12-26,1.99
1374,2014-12-24,1.99
1375,2014-12-23,1.99
1376,2014-12-22,1.99
1377,2014-12-19,1.98
1378,2014-12-18,1.98
1379,2014-12-17,1.98
1380,2014-12-16,1.99
1381,2014-12-15,2.00
1382,2014-12-12,1.98
1383,2014-12-11,1.98
1384,2014-12-10,1.99
1385,2014-12-09,2.01
1386,2014-12-08,1.99
1387,2014-12-05,1.98
1388,2014-12-04,1.98
1389,2014-12-03,1.98
1390,2014-12-02,1.98
1391,2014-12-01,1.99
1392,2014-11-28,1.99
1393,2014-11-27,1.99
1394,2014-11-26,1.98
1395,2014-11-25,1.99
1396,2014-11-24,1.98
1397,2014-11-21,1.98
